speaker,predicted,score,correct,gender,age,dialect,micro_make,micro_type,sampling_rate
Agoniste,Agoniste,0.6786212,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.6503595,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.75004107,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7027062,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.733938,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.64706373,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7245212,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.6674063,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.69601107,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.70305187,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.78034806,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7168764,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.78739274,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7530204,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.5332296,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Garous,0.6492672,False,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.8295052,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.76539373,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7457646,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7136969,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7827955,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7479769,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7454863,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.6521827,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7780005,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.74467087,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.71239024,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.73833025,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.68266344,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.5302328,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7327455,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.74986815,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.75870335,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.73336864,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.759227,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7086358,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7700161,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.8067267,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.6336112,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.72960055,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.6331918,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.5777669,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7720759,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.75088954,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.82079077,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7500876,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7644253,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7981592,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7785606,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.66904855,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.76192343,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7488439,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.6870219,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.6554761,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7337573,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.77064985,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7220242,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7127918,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.78301466,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.69685614,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.789871,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.67394763,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7190378,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7125756,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.77767795,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Garous,0.68125314,False,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7476235,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.5866658,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.73277986,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.6646236,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Garous,0.71294445,False,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7132847,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.6793957,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7556484,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.67784667,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7211486,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7543871,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.71010524,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7610545,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7608547,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Garous,0.66548693,False,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.764774,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Alain,Alain,0.7975029,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.79816294,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.7913929,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.77561176,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.7995243,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.7988289,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.762751,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.7587823,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.7834612,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.7769934,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.7844044,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.78817457,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.82727015,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.70616955,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.7734246,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.697022,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.77850556,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.79972523,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
Alain,Alain,0.8024102,True,Masculin,Adulte,Français Belgique,n/a,Micro de webcam,48000
alex,alex,0.6512054,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.6873341,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.6828507,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.6955656,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.70262796,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.5858261,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.7260391,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.71764684,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.6273869,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.6239739,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.71563864,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,cpt,0.63745606,False,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.68990445,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.63743496,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.7176704,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.75685966,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.701599,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.63766396,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
alex,alex,0.6782199,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Alliage,Alliage,0.64416885,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7280232,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.723992,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.75734025,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.65701294,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,nanochan,0.6788626,False,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.65239024,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.69325143,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7192103,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.64342785,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.74724346,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.744242,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6870842,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.647371,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7350465,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7165574,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7103893,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6854497,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6637937,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6599803,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.69856274,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.68549055,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,hLx,0.53200865,False,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.76386464,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6700075,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.71842146,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7063387,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6380993,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.72361344,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.63414234,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7158203,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6451614,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.76041967,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.69371974,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6546771,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6575713,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,nanochan,0.67347705,False,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,hLx,0.57462966,False,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6969835,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.67132276,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7198458,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.69876635,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.69413006,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,nanochan,0.6131402,False,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7118904,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.64367497,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6925576,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7083683,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7223406,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6837498,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6521472,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.5703088,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6560391,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.78527725,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7580486,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.75973797,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7163888,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.695133,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,christophe,0.5463543,False,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7342138,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.70549124,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6172197,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,nanochan,0.6554053,False,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.57302207,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.64492273,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.6455387,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.675423,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.7125124,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
Alliage,Alliage,0.64059854,True,Masculin,Jeune,Français France,n/a,Casque micro USB,48000
AmbreSERRES,AmbreSERRES,0.7499709,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.7832588,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.8263494,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.7482564,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.77823377,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.77883065,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.8107765,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.71290314,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.80604875,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.73657346,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.72174525,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.7441253,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.6615464,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.76550317,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.6571591,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.6539118,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.6272104,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.6165885,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.7202252,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.74128604,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.75231653,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.7628233,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.74642605,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.73898196,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.6720419,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.5980747,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.6872525,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.6861146,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
AmbreSERRES,AmbreSERRES,0.6664629,True,Féminin,Jeune,Français France,n/a,Micro de bureau,48000
angelamalice,angelamalice,0.65578187,True,Masculin,Adulte,Français France,n/a,Micro de portable,48000
angelamalice,angelamalice,0.7218188,True,Masculin,Adulte,Français France,n/a,Micro de portable,48000
angelamalice,angelamalice,0.7362269,True,Masculin,Adulte,Français France,n/a,Micro de portable,48000
angelamalice,angelamalice,0.59377897,True,Masculin,Adulte,Français France,n/a,Micro de portable,48000
angelamalice,angelamalice,0.6770619,True,Masculin,Adulte,Français France,n/a,Micro de portable,48000
angelamalice,angelamalice,0.7431884,True,Masculin,Adulte,Français France,n/a,Micro de portable,48000
angelamalice,angelamalice,0.6756166,True,Masculin,Adulte,Français France,n/a,Micro de portable,48000
angelamalice,angelamalice,0.72511214,True,Masculin,Adulte,Français France,n/a,Micro de portable,48000
angelamalice,angelamalice,0.6315465,True,Masculin,Adulte,Français France,n/a,Micro de portable,48000
Ango,Ango,0.7222625,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.7044842,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.7289684,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.75118756,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.7403829,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.67478514,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.7041339,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.7624128,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.7498986,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.7115621,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.649473,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.7273299,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.6909406,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.79499507,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.7413724,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.6015444,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.59298146,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
Ango,Ango,0.7096299,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
anod1,anod1,0.759783,True,Masculin,Adulte,Français France,n/a,Casque micro,48000
Ango,Ango,0.6010022,True,Masculin,Adulte,Français France,n/a,Micro de bureau,48000
anod1,anod1,0.75797033,True,Masculin,Adulte,Français France,n/a,Casque micro,48000
anod1,anod1,0.7988007,True,Masculin,Adulte,Français France,n/a,Casque micro,48000
anod1,anod1,0.79632914,True,Masculin,Adulte,Français France,n/a,Casque micro,48000
anod1,anod1,0.8080649,True,Masculin,Adulte,Français France,n/a,Casque micro,48000
anod1,anod1,0.6957047,True,Masculin,Adulte,Français France,n/a,Casque micro,48000
